full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Leya Iseka,22,879552000,Ligue 1,2019/2020,Forward,Toulouse,765,245,520,Belgium,22,1,5,2,0,2,0,0,0,1,1,1,1,0,21,10,11,2,0,0.24,0,0.24,0,0.35,383,2.47,36,35,383,0,0.24,65,383,-1,5
Abdallah Ali Mohamed,21,923788800,Ligue 1,2019/2020,Forward,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdallah N'Dour,26,756345600,Ligue 1,2019/2020,Defender,Strasbourg,373,174,199,Senegal,6,2,2,0,0,0,0,0,0,0,0,2,1,1,4,2,2,2,1,0,0,0,0,0,0,0.97,93,62,187,0,0.48,341,343,51,14
Abdou Diallo,24,831168000,Ligue 1,2019/2020,Defender,PSG,1203,434,769,France,16,6,8,0,0,0,1,1,0,0,0,9,5,4,8,1,7,4,0,0.07,0.07,0,0,0,0,0.6,150,75,301,1203,0.3,354,162,6,27
Abdoulaye Bamba,30,641001600,Ligue 1,2019/2020,Defender,Angers SCO,553,373,180,Côte d'Ivoire,7,4,2,0,0,0,0,0,0,0,0,5,4,1,2,0,2,2,0,0,0,0,0,0,0,0.33,277,79,277,0,0.33,252,250,2,15
Abdoulaye Jules Keita,22,900892800,Ligue 1,2019/2020,Midfielder,Dijon,156,134,22,Guinea,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.15,78,52,0,0,0,-1,-1,-1,22
Abdoulaye Touré,26,762652800,Ligue 1,2019/2020,Midfielder,Nantes,2220,1167,1053,France,27,13,11,3,3,0,0,0,0,2,0,10,7,3,21,9,12,3,0,0.12,0,0.12,0.23,0,740,0.85,106,82,740,0,0.12,126,361,-1,4
Abdul Majeed Waris,28,685238400,Ligue 1,2019/2020,Forward,Strasbourg,371,243,128,Ghana,7,3,1,2,1,1,1,0,1,0,0,3,2,1,3,1,2,1,0,0.73,0.24,0.49,0.37,0.7,186,0.73,124,53,371,371,0.24,20,33,-1,4
Adam Ounas,23,847670400,Ligue 1,2019/2020,Midfielder,Nice,1131,569,562,Algeria,16,8,6,2,1,1,4,3,1,0,0,2,0,2,14,8,6,3,1,0.48,0.32,0.16,0.16,0.16,566,1.11,81,71,283,283,0.32,105,16,-1,6
Adama Traoré,25,804297600,Ligue 1,2019/2020,Midfielder,Metz,1034,632,402,Mali,17,7,5,1,1,0,4,2,2,0,0,4,2,2,12,5,7,1,0,0.44,0.35,0.09,0.14,0,1034,1.04,86,61,1034,259,0.09,154,15,-1,7
