full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Herzog,22,886118400,Bundesliga,2019/2020,Midfielder,Borussia M'gladbach,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aarón Martín,23,861667200,Bundesliga,2019/2020,Defender,Mainz 05,1797,797,1000,Spain,22,9,12,0,0,0,0,0,0,0,0,2,0,2,48,20,28,2,0,0,0,0,0,0,0,2.4,37,82,899,0,0.1,379,379,142,24
Abdelhamid Sabiri,23,849139200,Bundesliga,2019/2020,Midfielder,Paderborn,1036,580,456,Morocco,24,5,4,4,3,1,1,1,0,1,0,4,1,3,23,14,9,6,0,0.43,0.09,0.35,0.47,0.2,259,2,45,43,173,1036,0.52,54,180,-1,4
Achraf Hakimi Mouh,21,910137600,Bundesliga,2019/2020,Defender,Borussia Dortmund,2715,1344,1371,Morocco,33,14,15,5,0,5,10,6,4,0,0,14,9,5,34,11,23,5,0,0.5,0.33,0.17,0,0.33,543,1.13,80,82,543,272,0.17,115,20,35,7
Adam Bodzek,34,494899200,Bundesliga,2019/2020,Defender,Fortuna Düsseldorf,2017,1002,1015,Germany,28,10,12,0,0,0,0,0,0,0,0,4,3,1,44,18,26,10,0,0,0,0,0,0,0,1.96,46,72,202,0,0.45,251,299,126,16
Ádám Szalai,32,566006400,Bundesliga,2019/2020,Forward,Mainz 05,1139,692,447,Hungary,27,7,5,1,1,0,1,0,1,0,0,5,2,3,20,8,12,1,0,0.16,0.08,0.08,0.13,0,1139,1.58,57,42,1139,1139,0.08,174,186,-1,11
Ademola Lookman,22,877305600,Bundesliga,2019/2020,Forward,RB Leipzig,299,132,167,England,11,0,1,0,0,0,0,0,0,0,0,4,0,4,4,3,1,0,0,0,0,0,0,0,0,1.2,75,27,0,0,0,281,280,-1,21
Admir Mehmedi,29,669081600,Bundesliga,2019/2020,Forward,Wolfsburg,1205,558,647,Switzerland,21,6,8,2,2,0,2,1,1,0,0,7,3,4,14,8,6,0,0,0.3,0.15,0.15,0.32,0,603,1.05,86,57,0,603,0,127,106,-1,10
Adrian Oeynhausen,18,1011312000,Bundesliga,2019/2020,Midfielder,Paderborn,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adrian Stanilewicz,20,951177600,Bundesliga,2019/2020,Midfielder,Bayer Leverkusen,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ahmed Kutucu,20,951868800,Bundesliga,2019/2020,Forward,Schalke 04,660,393,267,Germany,25,1,2,3,2,1,2,1,1,0,0,4,3,1,17,8,9,2,0,0.68,0.27,0.41,0.46,0.34,220,2.32,39,26,330,330,0.27,40,36,-1,4
Ahmet Gürleyen,21,925084800,Bundesliga,2019/2020,Defender,Mainz 05,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Akaki Gogia,28,695692800,Bundesliga,2019/2020,Midfielder,Union Berlin,120,76,44,Germany,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.75,120,40,0,0,0,-1,-1,-1,15
Alaa Bakir,19,979516800,Bundesliga,2019/2020,Forward,Borussia Dortmund,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alassane Pléa,27,731721600,Bundesliga,2019/2020,Forward,Borussia M'gladbach,2150,1082,1068,France,27,13,12,10,5,5,10,6,4,0,1,6,2,4,23,12,11,4,2,0.84,0.42,0.42,0.42,0.42,215,0.96,93,80,538,215,0.17,37,10,-1,2
Aleksandar Dragović,29,668217600,Bundesliga,2019/2020,Defender,Bayer Leverkusen,1027,515,512,Austria,15,4,6,0,0,0,0,0,0,0,0,4,1,3,17,11,6,7,1,0,0,0,0,0,0,1.49,60,68,147,0,0.61,331,344,69,16
Alessandro Schöpf,26,760579200,Bundesliga,2019/2020,Midfielder,Schalke 04,1426,748,678,Austria,22,8,7,0,0,0,1,0,1,0,0,5,3,2,30,16,14,3,0,0.06,0.06,0,0,0,0,1.89,48,65,475,1426,0.19,267,219,-1,17
Alexander Esswein,30,638323200,Bundesliga,2019/2020,Midfielder,Hertha BSC,209,56,153,Germany,7,0,1,0,0,0,0,0,0,0,0,1,1,0,5,3,2,1,0,0,0,0,0,0,0,2.15,42,30,209,0,0.43,-1,-1,-1,26
Alexander Hack,26,747446400,Bundesliga,2019/2020,Defender,Mainz 05,802,335,467,Germany,14,4,5,0,0,0,0,0,0,0,0,1,0,1,26,6,20,2,0,0,0,0,0,0,0,2.92,31,57,401,0,0.22,381,381,149,18
Alexander Nübel,23,844041600,Bundesliga,2019/2020,Goalkeeper,Schalke 04,2316,1146,1170,Germany,26,13,13,0,0,0,0,0,0,0,0,6,3,3,39,20,19,2,1,0,0,0,0,0,0,1.52,59,89,772,0,0.12,388,389,73,21
Alexander Schwolow,28,707443200,Bundesliga,2019/2020,Goalkeeper,Freiburg,2093,1080,1013,Germany,24,12,12,0,0,0,0,0,0,0,0,4,3,1,29,12,17,0,0,0,0,0,0,0,0,1.25,72,87,0,0,0,370,323,48,17
Alexandru Maxim,30,647395200,Bundesliga,2019/2020,Midfielder,Mainz 05,112,80,32,Romania,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1.61,56,22,112,0,0.8,-1,-1,-1,20
Alfredo Morales,30,642470400,Bundesliga,2019/2020,Midfielder,Fortuna Düsseldorf,1726,682,1044,USA,27,7,11,1,1,0,2,0,2,0,0,3,2,1,41,14,27,6,0,0.16,0.1,0.05,0.13,0,1726,2.14,42,64,288,863,0.31,206,165,-1,9
Alfreð Finnbogason,31,602294400,Bundesliga,2019/2020,Forward,Augsburg,961,555,406,Iceland,21,6,4,3,3,0,1,1,0,1,0,3,0,3,15,11,4,1,0,0.37,0.09,0.28,0.49,0,320,1.4,64,46,961,961,0.09,74,177,-1,5
Almamy Touré,24,830649600,Bundesliga,2019/2020,Defender,Eintracht Frankfurt,1495,780,715,Mali,19,10,8,1,1,0,3,2,1,0,0,4,3,1,33,15,18,2,0,0.24,0.18,0.06,0.12,0,1495,1.99,45,79,748,498,0.12,200,85,129,13
Alphonso Davies,19,973123200,Bundesliga,2019/2020,Midfielder,Bayern München,2233,1044,1189,Canada,29,11,13,3,3,0,5,1,4,0,0,13,6,7,20,8,12,4,1,0.32,0.2,0.12,0.26,0,744,0.81,112,77,558,447,0.16,150,66,-1,12
Álvaro Odriozola,24,818899200,Bundesliga,2019/2020,Defender,Bayern München,153,91,62,Spain,3,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0.59,153,51,0,0,0,-1,-1,-1,16
Amadou Haidara,22,886204800,Bundesliga,2019/2020,Midfielder,RB Leipzig,744,350,394,Mali,19,2,3,0,0,0,1,0,1,0,0,5,2,3,10,5,5,1,0,0.12,0.12,0,0,0,0,1.21,74,39,744,744,0.12,292,131,-1,24
Amine Harit,23,866592000,Bundesliga,2019/2020,Midfielder,Schalke 04,2109,979,1130,France,25,11,13,6,1,5,4,3,1,1,0,6,3,3,36,16,20,3,0,0.43,0.17,0.26,0.09,0.4,352,1.54,59,84,703,527,0.13,82,93,-1,2
Amir Abrashi,30,638496000,Bundesliga,2019/2020,Midfielder,Freiburg,666,255,411,Albania,13,3,5,0,0,0,0,0,0,0,0,4,3,1,9,2,7,3,0,0,0,0,0,0,0,1.22,74,51,222,0,0.41,376,375,-1,18
André Hahn,29,650505600,Bundesliga,2019/2020,Forward,Augsburg,700,287,413,Germany,15,3,5,1,1,0,0,0,0,0,1,2,1,1,17,4,13,6,1,0.13,0,0.13,0.31,0,700,2.19,41,47,117,0,0.77,145,339,-1,13
Andre Hoffmann,27,730857600,Bundesliga,2019/2020,Midfielder,Fortuna Düsseldorf,2430,1147,1283,Germany,29,13,14,2,0,2,1,0,1,0,0,4,3,1,47,17,30,7,0,0.11,0.04,0.07,0,0.14,1215,1.74,52,84,347,2430,0.26,185,236,-1,4
André Silva,24,815616000,Bundesliga,2019/2020,Forward,Eintracht Frankfurt,1576,781,795,Portugal,25,8,8,12,7,5,3,1,2,1,0,2,1,1,33,14,19,2,0,0.86,0.17,0.69,0.81,0.57,131,1.88,48,63,788,525,0.11,9,91,-1,1
Andreas Luthe,33,542332800,Bundesliga,2019/2020,Goalkeeper,Augsburg,900,450,450,Germany,10,5,5,0,0,0,0,0,0,0,0,3,1,2,9,6,3,0,0,0,0,0,0,0,0,0.9,100,90,0,0,0,338,342,14,15
Andrej Kramarić,29,677289600,Bundesliga,2019/2020,Forward,Hoffenheim,1419,836,583,Croatia,19,8,6,12,7,5,2,1,1,2,0,5,2,3,24,16,8,3,0,0.89,0.13,0.76,0.75,0.77,118,1.52,59,75,473,710,0.19,8,128,-1,1
Ante Rebić,26,748569600,Bundesliga,2019/2020,Forward,Eintracht Frankfurt,90,90,0,Croatia,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90,90,0,1,-1,-1,-1,23
Anthony Evans,21,906508800,Bundesliga,2019/2020,Midfielder,Paderborn,155,129,26,England,6,2,0,0,0,0,0,0,0,0,0,1,0,1,6,6,0,0,0,0,0,0,0,0,0,3.48,26,26,0,0,0,-1,-1,-1,18
Anthony Modeste,32,576979200,Bundesliga,2019/2020,Forward,Köln,1129,522,607,France,27,5,6,4,2,2,1,0,1,0,0,2,2,0,33,12,21,1,0,0.4,0.08,0.32,0.34,0.3,282,2.63,34,42,1129,1129,0.08,62,188,-1,6
Anthony Ujah,29,655862400,Bundesliga,2019/2020,Forward,Union Berlin,945,655,290,Nigeria,24,8,2,3,3,0,2,2,0,0,0,5,5,0,15,7,8,0,0,0.48,0.19,0.29,0.41,0,315,1.43,63,39,0,473,0,69,80,-1,4
Arne Maier,21,915753600,Bundesliga,2019/2020,Midfielder,Hertha BSC,528,259,269,Germany,14,3,2,0,0,0,0,0,0,0,0,5,3,2,11,6,5,0,0,0,0,0,0,0,0,1.88,48,38,0,0,0,240,272,-1,15
Axel Witsel,31,600566400,Bundesliga,2019/2020,Midfielder,Borussia Dortmund,2245,1173,1072,Belgium,28,13,12,4,2,2,5,3,2,0,0,12,8,4,32,13,19,4,0,0.36,0.2,0.16,0.15,0.17,561,1.28,70,80,561,449,0.16,118,68,-1,8
Ayman Azhil,19,986860800,Bundesliga,2019/2020,Midfielder,Bayer Leverkusen,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aymen Barkok,22,895708800,Bundesliga,2019/2020,Midfielder,Fortuna Düsseldorf,78,9,69,Germany,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3.46,26,26,0,0,0,-1,-1,-1,13
Babacar Gueye,25,788832000,Bundesliga,2019/2020,Forward,Paderborn,109,47,62,Senegal,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,4.13,22,36,0,0,0,-1,-1,-1,22
Bas Dost,31,612576000,Bundesliga,2019/2020,Forward,Eintracht Frankfurt,1475,758,717,Netherlands,24,9,7,8,3,5,2,0,2,0,0,3,2,1,25,15,10,2,0,0.61,0.12,0.49,0.36,0.63,184,1.53,59,61,738,738,0.12,27,132,-1,2
Bastian Oczipka,31,600566400,Bundesliga,2019/2020,Defender,Schalke 04,3014,1484,1530,Germany,34,16,17,0,0,0,5,3,2,0,0,7,4,3,55,24,31,4,0,0.15,0.15,0,0,0,0,1.64,55,89,754,603,0.12,389,107,91,27
Ben Zolinski,28,704851200,Bundesliga,2019/2020,Defender,Paderborn,1208,656,552,Germany,28,8,6,3,2,1,2,0,2,0,0,5,1,4,26,17,9,3,0,0.37,0.15,0.22,0.27,0.16,403,1.94,46,43,403,604,0.22,97,105,124,5
Benito Raman,25,784166400,Bundesliga,2019/2020,Forward,Schalke 04,1610,862,748,Belgium,25,10,9,4,2,2,3,2,1,0,0,6,3,3,29,16,13,2,0,0.39,0.17,0.22,0.21,0.24,403,1.62,56,64,805,537,0.11,99,87,-1,3
Benjamin Goller,21,915148800,Bundesliga,2019/2020,Midfielder,Werder Bremen,280,118,162,Germany,10,1,1,0,0,0,0,0,0,0,0,1,0,1,5,3,2,0,0,0,0,0,0,0,0,1.61,56,28,0,0,0,259,296,-1,19
Benjamin Hübner,31,615513600,Bundesliga,2019/2020,Defender,Hoffenheim,2075,993,1082,Germany,25,12,13,1,0,1,4,2,2,0,0,6,3,3,32,21,11,7,2,0.22,0.17,0.04,0,0.08,2075,1.39,65,83,259,519,0.35,219,88,60,11
Benjamin Leneis,21,920851200,Bundesliga,2019/2020,Goalkeeper,Augsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Benjamin Pavard,24,827971200,Bundesliga,2019/2020,Defender,Bayern München,2790,1412,1378,France,32,16,15,4,3,1,4,3,1,0,0,15,7,8,27,13,14,5,0,0.26,0.13,0.13,0.19,0.07,698,0.87,103,87,558,698,0.16,143,118,10,6
Benjamin Stambouli,29,650505600,Bundesliga,2019/2020,Midfielder,Schalke 04,810,450,360,France,9,5,4,0,0,0,0,0,0,0,0,3,2,1,8,4,4,2,0,0,0,0,0,0,0,0.89,101,90,405,0,0.22,391,391,-1,25
Benno Schmitz,25,785030400,Bundesliga,2019/2020,Defender,Köln,1158,566,592,Germany,18,6,7,0,0,0,0,0,0,0,0,4,3,1,23,12,11,1,0,0,0,0,0,0,0,1.79,50,64,1158,0,0.08,270,286,108,15
Bernard Tekpetey,22,873244800,Bundesliga,2019/2020,Forward,Fortuna Düsseldorf,448,152,296,Ghana,9,1,4,0,0,0,1,0,1,0,0,1,1,0,10,2,8,4,0,0.2,0.2,0,0,0,0,2.01,45,50,112,448,0.8,318,70,-1,22
Birger Verstraete,26,766454400,Bundesliga,2019/2020,Midfielder,Köln,665,305,360,Belgium,9,3,4,0,0,0,1,0,1,0,0,1,1,0,13,4,9,3,0,0.14,0.14,0,0,0,0,1.76,51,74,222,665,0.41,304,114,-1,27
Bote Baku,22,891993600,Bundesliga,2019/2020,Midfielder,Mainz 05,2350,1212,1138,Germany,30,13,13,1,0,1,3,1,2,0,0,4,2,2,53,25,28,6,1,0.15,0.11,0.04,0,0.08,2350,2.03,44,78,336,783,0.27,220,144,-1,12
Brandon Joel Gaetano Borrello,25,806630400,Bundesliga,2019/2020,Forward,Freiburg,299,139,160,Australia,7,2,2,0,0,0,0,0,0,0,0,1,1,0,4,1,3,0,0,0,0,0,0,0,0,1.2,75,43,0,0,0,374,374,-1,22
Breel Embolo,23,855878400,Bundesliga,2019/2020,Forward,Borussia M'gladbach,1551,739,812,Switzerland,28,9,8,8,6,2,5,4,1,0,1,5,2,3,15,8,7,4,0,0.75,0.29,0.46,0.73,0.22,194,0.87,103,55,388,310,0.23,30,32,-1,4
Can Bozdogan,19,986428800,Bundesliga,2019/2020,Midfielder,Schalke 04,237,69,168,Germany,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,6,2,1,0,0,0,0,0,0,2.28,40,79,119,0,0.76,-1,-1,-1,16
Carlos Armando Gruezo Arboleda,25,798249600,Bundesliga,2019/2020,Midfielder,Augsburg,888,457,431,Ecuador,11,5,5,0,0,0,1,0,1,0,0,3,1,2,16,9,7,3,0,0.1,0.1,0,0,0,0,1.62,56,81,296,888,0.3,335,161,-1,19
Cauly Oliveira Souza,24,811123200,Bundesliga,2019/2020,Midfielder,Paderborn,718,332,386,Germany,13,4,4,2,1,1,0,0,0,0,0,1,0,1,21,11,10,0,0,0.25,0,0.25,0.27,0.23,359,2.63,34,55,0,0,0,87,321,-1,6
Chang-Hoon Kwon,26,772934400,Bundesliga,2019/2020,Midfielder,Freiburg,665,356,309,South Korea,23,4,2,2,0,2,0,0,0,0,0,5,5,0,5,2,3,0,0,0.27,0,0.27,0,0.58,333,0.68,133,29,0,0,0,78,377,-1,9
Charalambos Makridis,24,836524800,Bundesliga,2019/2020,Forward,Borussia M'gladbach,0,0,0,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Charles Aránguiz,31,608774400,Bundesliga,2019/2020,Midfielder,Bayer Leverkusen,2123,1049,1074,Chile,27,11,12,1,0,1,3,2,1,0,0,8,4,4,26,15,11,2,0,0.17,0.13,0.04,0,0.08,2123,1.1,82,79,1062,708,0.08,217,122,-1,15
Chinedu Ekene,21,931478400,Bundesliga,2019/2020,Forward,Hoffenheim,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Chris Führich,22,884304000,Bundesliga,2019/2020,Midfielder,Borussia Dortmund,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Chris Richards,20,954201600,Bundesliga,2019/2020,Defender,Bayern München,6,6,0,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,30
Christian Clemens,28,681264000,Bundesliga,2019/2020,Midfielder,Köln,15,0,15,Germany,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-1,-1,-1,29
Christian Gentner,34,492825600,Bundesliga,2019/2020,Midfielder,Union Berlin,2453,1277,1176,Germany,31,15,14,3,2,1,2,2,0,0,0,8,7,1,34,13,21,4,0,0.18,0.07,0.11,0.14,0.08,818,1.25,72,79,613,1227,0.15,156,199,-1,5
Christian Groß,31,602899200,Bundesliga,2019/2020,Midfielder,Werder Bremen,869,270,599,Germany,14,3,7,0,0,0,0,0,0,0,0,2,1,1,22,4,18,2,0,0,0,0,0,0,0,2.28,40,62,435,0,0.21,311,316,-1,20
Christian Günter,27,730857600,Bundesliga,2019/2020,Defender,Freiburg,3032,1518,1514,Germany,34,17,17,2,1,1,8,2,6,0,0,7,6,1,41,13,28,2,0,0.3,0.24,0.06,0.06,0.06,1516,1.22,74,89,1516,379,0.06,199,54,43,7
Christian Strohdiek,32,569808000,Bundesliga,2019/2020,Defender,Paderborn,1364,630,734,Germany,16,7,9,1,0,1,2,1,1,0,0,1,0,1,37,24,13,3,0,0.2,0.13,0.07,0,0.12,1364,2.44,37,85,455,682,0.2,187,129,145,15
Christoph Baumgartner,20,933465600,Bundesliga,2019/2020,Midfielder,Hoffenheim,1495,857,638,Austria,26,10,7,7,4,3,2,1,1,0,0,6,2,4,27,23,4,3,0,0.54,0.12,0.42,0.42,0.42,214,1.63,55,58,498,748,0.18,36,139,-1,2
Christoph Kramer,29,666921600,Bundesliga,2019/2020,Midfielder,Borussia M'gladbach,1464,616,848,Germany,22,7,10,0,0,0,0,0,0,0,0,5,1,4,12,5,7,4,0,0,0,0,0,0,0,0.74,122,67,366,0,0.25,258,254,-1,15
Christopher Antwi-Adjej,26,760579200,Bundesliga,2019/2020,Midfielder,Paderborn,2472,1203,1269,Germany,34,13,15,1,0,1,2,2,0,0,0,5,1,4,58,35,23,2,0,0.11,0.07,0.04,0,0.07,2472,2.11,43,73,1236,1236,0.07,218,196,-1,11
Christopher Lenz,25,780192000,Bundesliga,2019/2020,Defender,Union Berlin,2269,1080,1189,Germany,26,12,14,0,0,0,3,1,2,0,0,6,5,1,40,14,26,2,0,0.12,0.12,0,0,0,0,1.59,57,87,1135,756,0.08,360,137,82,24
Christopher Nkunku,22,879465600,Bundesliga,2019/2020,Midfielder,RB Leipzig,1926,964,962,France,32,12,9,5,2,3,13,7,6,0,0,9,1,8,16,9,7,2,0,0.84,0.61,0.23,0.19,0.28,385,0.75,120,60,963,148,0.09,96,4,-1,5
Christopher Trimmel,33,541123200,Bundesliga,2019/2020,Defender,Union Berlin,2864,1530,1334,Austria,32,17,15,0,0,0,8,4,4,0,0,8,7,1,48,18,30,6,0,0.25,0.25,0,0,0,0,1.51,60,90,477,358,0.19,359,45,71,25
Claudio Miguel Pizarro Bossio,41,276220800,Bundesliga,2019/2020,Forward,Werder Bremen,216,171,45,Peru,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1.25,72,12,0,0,0,-1,-1,-1,26
Connor Noß,19,978307200,Bundesliga,2019/2020,Forward,Borussia M'gladbach,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Corentin Tolisso,25,775872000,Bundesliga,2019/2020,Midfielder,Bayern München,636,353,283,France,13,4,3,1,0,1,2,1,1,0,0,5,2,3,7,6,1,0,0,0.42,0.28,0.14,0,0.32,636,0.99,91,49,0,318,0,141,34,-1,13
Daichi Kamada,23,839203200,Bundesliga,2019/2020,Midfielder,Eintracht Frankfurt,1972,1046,926,Japan,28,11,11,2,1,1,4,1,3,0,0,2,1,1,38,21,17,5,0,0.27,0.18,0.09,0.09,0.1,986,1.73,52,70,394,493,0.23,165,84,-1,9
Daishawn Redan,19,981072000,Bundesliga,2019/2020,Forward,Hertha BSC,20,20,0,Netherlands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.5,20,20,0,0,0,-1,-1,-1,22
Daley Sinkgraven,25,804816000,Bundesliga,2019/2020,Midfielder,Bayer Leverkusen,913,401,512,Netherlands,13,5,6,0,0,0,1,1,0,0,0,4,2,2,9,4,5,1,0,0.1,0.1,0,0,0,0,0.89,101,70,913,913,0.1,242,153,-1,19
Dan-Axel Zagadou,21,928368000,Bundesliga,2019/2020,Defender,Borussia Dortmund,978,411,567,France,15,4,6,1,0,1,1,0,1,0,0,8,5,3,12,3,9,1,0,0.18,0.09,0.09,0,0.16,978,1.1,82,65,978,978,0.09,168,181,30,15
Dani Olmo,22,894499200,Bundesliga,2019/2020,Midfielder,RB Leipzig,753,327,426,Spain,12,4,5,3,0,3,1,1,0,0,0,5,1,4,4,1,3,1,0,0.48,0.12,0.36,0,0.63,251,0.48,188,63,753,753,0.12,53,133,-1,7
Daniel Baier,36,453686400,Bundesliga,2019/2020,Midfielder,Augsburg,1946,950,996,Germany,23,11,11,1,1,0,0,0,0,0,0,5,3,2,38,15,23,6,0,0.05,0,0.05,0.09,0,1946,1.76,51,85,324,0,0.28,210,338,-1,12
Daniel Brosinski,32,585100800,Bundesliga,2019/2020,Defender,Mainz 05,1701,886,815,Germany,26,9,7,2,1,1,4,3,1,1,0,4,1,3,28,14,14,3,0,0.32,0.21,0.11,0.1,0.11,851,1.48,61,65,567,425,0.16,158,63,66,8
Daniel Caligiuri,32,569203200,Bundesliga,2019/2020,Midfielder,Schalke 04,2300,1200,1100,Germany,28,14,12,2,2,0,2,0,2,1,0,6,4,2,41,17,24,5,0,0.16,0.08,0.08,0.15,0,1150,1.6,56,82,460,1150,0.2,179,184,-1,10
