full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Ramsey,29,662198400,Serie A,2019/2020,Midfielder,Juventus,1049,587,462,Wales,24,7,4,3,2,1,1,1,0,0,0,7,5,2,12,3,9,2,0,0.34,0.09,0.26,0.31,0.19,350,1.03,87,44,525,1049,0.17,80,181,-1,5
Abdoulaye Traorè,20,957078000,Serie A,2019/2020,Forward,Hellas Verona,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adam Marušić,27,719305200,Serie A,2019/2020,Defender,Lazio,940,500,440,Montenegro,15,5,5,2,1,1,1,0,1,0,0,7,5,2,10,4,6,3,0,0.29,0.1,0.19,0.18,0.2,470,0.96,94,63,313,940,0.29,109,152,23,7
Adrien Rabiot,25,796892400,Serie A,2019/2020,Midfielder,Juventus,1917,1110,807,France,28,13,8,1,0,1,1,1,0,0,0,9,7,2,20,8,12,7,1,0.09,0.05,0.05,0,0.11,1917,0.94,96,68,274,1917,0.33,230,226,-1,12
Adrien Tameze,25,783936000,Serie A,2019/2020,Midfielder,Atalanta,206,91,115,France,7,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0.87,103,29,0,0,0,-1,-1,-1,16
Alan Pereira Empereur,26,763286400,Serie A,2019/2020,Defender,Hellas Verona,851,410,441,Brazil,13,4,4,0,0,0,0,0,0,0,0,0,0,0,14,5,9,3,0,0,0,0,0,0,0,1.48,61,65,284,0,0.32,423,430,116,22
Alberto Cerri,24,829638000,Serie A,2019/2020,Forward,SPAL,655,279,376,Italy,19,3,3,2,2,0,0,0,0,0,0,2,0,2,22,12,10,2,0,0.27,0,0.27,0.65,0,328,3.02,30,34,328,0,0.27,77,342,-1,6
Alberto Grassi,25,794563200,Serie A,2019/2020,Midfielder,Parma,636,351,285,Italy,16,3,3,1,1,0,1,0,1,0,0,4,2,2,12,4,8,6,0,0.28,0.14,0.14,0.26,0,636,1.7,53,40,106,636,0.85,144,108,-1,14
Alberto Paloschi,30,631440000,Serie A,2019/2020,Forward,Cagliari,637,295,342,Italy,17,3,3,0,0,0,0,0,0,0,0,3,2,1,10,5,5,0,0,0,0,0,0,0,0,1.41,64,37,0,0,0,401,408,-1,20
Albin Ekdal,30,617612400,Serie A,2019/2020,Midfielder,Sampdoria,2386,1206,1180,Sweden,32,14,13,0,0,0,2,1,1,0,0,9,6,3,39,16,23,8,0,0.08,0.08,0,0,0,0,1.47,61,75,298,1193,0.3,449,185,-1,25
Alejandro Gómez,32,571910400,Serie A,2019/2020,Midfielder,Atalanta,2860,1394,1466,Argentina,36,17,17,7,3,4,16,9,7,0,0,10,5,5,35,19,16,2,0,0.72,0.5,0.22,0.19,0.25,409,1.1,82,79,1430,179,0.06,93,4,-1,7
Aleksa Terzić,20,934873200,Serie A,2019/2020,Defender,Fiorentina,6,6,0,Serbia,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,-1,24
Aleksandar Kolarov,34,500457600,Serie A,2019/2020,Defender,Roma,2730,1560,1170,Serbia,32,17,13,7,2,5,3,1,2,2,2,7,2,5,35,24,11,6,0,0.33,0.1,0.23,0.12,0.38,390,1.15,78,85,455,910,0.2,89,161,61,3
Aleš Matějů,24,833785200,Serie A,2019/2020,Defender,Brescia,2548,1281,1267,Czech Republic,31,15,13,0,0,0,1,1,0,0,0,5,3,2,53,22,31,10,1,0.04,0.04,0,0,0,0,1.87,48,82,255,2548,0.35,299,251,168,23
Alessandro Bastoni,21,923986800,Serie A,2019/2020,Defender,Inter Milan,1922,1033,889,Italy,25,11,10,2,0,2,0,0,0,0,0,7,4,3,23,12,11,9,1,0.09,0,0.09,0,0.2,961,1.08,84,77,214,0,0.42,194,305,43,11
Alessandro Berardi,29,664012800,Serie A,2019/2020,Goalkeeper,Hellas Verona,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Buongiorno,21,928652400,Serie A,2019/2020,Defender,Torino,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Deiola,24,807260400,Serie A,2019/2020,Midfielder,Lecce,718,345,373,Italy,11,4,4,1,1,0,1,1,0,0,0,2,1,1,18,8,10,3,0,0.25,0.13,0.13,0.26,0,718,2.26,40,65,239,718,0.38,150,114,-1,14
Alessandro Florenzi,29,668678400,Serie A,2019/2020,Midfielder,Roma,1002,588,414,Italy,14,7,5,0,0,0,1,1,0,0,0,5,1,4,14,11,3,5,0,0.09,0.09,0,0,0,0,1.26,72,72,200,1002,0.45,432,170,-1,29
Alessandro Lombardi,20,948441600,Serie A,2019/2020,Midfielder,Cagliari,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Matri,35,461746800,Serie A,2019/2020,Forward,Brescia,82,48,34,Italy,8,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,0,0,1.1,82,10,27,0,3.29,-1,-1,-1,14
Alessandro Mercati,18,1018594800,Serie A,2019/2020,Midfielder,Sassuolo,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Murgia,23,839574000,Serie A,2019/2020,Midfielder,SPAL,1752,916,836,Italy,25,10,9,0,0,0,1,1,0,0,0,1,0,1,39,22,17,3,0,0.05,0.05,0,0,0,0,2,45,70,584,1752,0.15,399,233,-1,26
