full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aarón Escandell Banacloche,24,812160000,La Liga,2019/2020,Goalkeeper,Granada CF,270,90,180,Spain,3,1,2,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,24
Abdallahi Mohamed Mahmoud,20,957398400,La Liga,2019/2020,Defender,Deportivo Alavés,150,25,125,Mauritania,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1.8,50,50,150,0,0.6,-1,-1,-1,20
Abdón Prats Bastidas,27,723686400,La Liga,2019/2020,Forward,RCD Mallorca,260,124,136,Spain,20,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,3,1,0,0,0,0,0,0,0,1.38,65,13,260,0,0.35,-1,-1,-1,10
Abdul Rahman Baba,26,773107200,La Liga,2019/2020,Defender,RCD Mallorca,109,90,19,Ghana,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.83,109,55,109,0,0.83,-1,-1,-1,18
Adnan Januzaj,25,791942400,La Liga,2019/2020,Midfielder,Real Sociedad,1164,537,627,Belgium,24,5,8,3,2,1,3,1,2,0,0,6,5,1,13,4,9,3,0,0.46,0.23,0.23,0.34,0.14,388,1.01,90,49,388,388,0.23,75,35,-1,7
Adrià Giner Pedrosa,22,895017600,La Liga,2019/2020,Defender,RCD Espanyol,1081,601,480,Spain,20,6,5,1,0,1,0,0,0,0,0,3,1,2,17,10,7,3,0,0.08,0,0.08,0,0.19,1081,1.42,64,54,360,0,0.25,178,294,143,10
Adrián,33,536630400,La Liga,2019/2020,Goalkeeper,CA Osasuna,1452,853,599,Spain,26,10,7,2,1,1,0,0,0,1,0,5,4,1,20,13,7,0,0,0.12,0,0.12,0.11,0.15,726,1.24,73,56,0,0,0,143,290,105,6
Adrián Embarba Blázquez,28,705196800,La Liga,2019/2020,Forward,RCD Espanyol,1381,649,732,Spain,18,8,9,2,0,2,4,3,1,1,0,4,3,1,18,8,10,4,0,0.39,0.26,0.13,0,0.25,691,1.17,77,77,345,345,0.26,139,26,-1,8
Adrián Guerrero,22,885945600,La Liga,2019/2020,Midfielder,Valencia CF,126,82,44,Spain,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,2.14,42,63,126,0,0.71,-1,-1,-1,28
Adrián Marín Gómez,23,852768000,La Liga,2019/2020,Defender,Deportivo Alavés,851,287,564,Spain,12,3,6,0,0,0,0,0,0,0,0,2,2,0,17,5,12,1,0,0,0,0,0,0,0,1.8,50,71,851,0,0.11,418,347,175,25
